x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,23-111-11,x,x,23-111-11,x,x,x,x,x,x,x
x,x,x,x,x,23-111-11,x,x,23-111-11,x,x,x,x,x,x,x
x,x,x,x,x,23-111-11,23-111-11,23-111-11,23-111-11,x,x,x,x,x,x,x
x,x,x,x,23-111-11,255-255-0,23-111-11,23-111-11,255-255-0,23-111-11,x,x,x,x,x,x
x,x,x,x,23-111-11,23-111-11,23-111-11,23-111-11,23-111-11,23-111-11,x,x,x,x,x,x
x,x,x,23-111-11,23-111-11,23-111-11,23-111-11,23-111-11,23-111-11,23-111-11,6-34-108,x,x,x,x,x
x,x,x,23-111-11,23-111-11,23-111-11,x,x,23-111-11,23-111-11,23-111-11,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
