x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,139-69-19,139-69-19,139-69-19,255-228-181,255-228-181,255-228-181,0-0-0,255-228-184,x,x,x,x,x
x,x,139-69-19,255-228-181,139-69-19,255-228-181,255-228-181,255-228-181,255-228-182,0-0-0,255-228-184,255-228-184,255-228-184,x,x,x
x,x,139-69-19,255-228-181,139-69-19,139-69-19,255-228-181,255-228-181,255-228-183,255-228-184,0-0-0,255-228-184,255-228-184,255-228-184,x,x
x,x,139-69-19,139-69-19,255-228-181,255-228-181,255-228-181,255-228-181,255-228-184,0-0-0,0-0-0,0-0-0,0-0-0,x,x,x
x,x,x,x,255-228-181,255-228-181,255-228-181,255-228-181,255-228-185,255-228-184,255-228-184,255-228-184,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,255-228-184,255-228-184,x,x,x,x,x,x,x,x,255-228-184,255-228-184,x,x,x
x,255-228-184,255-228-184,255-228-184,x,x,x,x,x,x,255-228-184,255-228-184,255-228-184,x,x,x
x,255-228-184,255-228-184,x,x,x,x,x,x,x,x,255-228-184,255-228-184,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,139-69-19,139-69-19,139-69-19,x,x,x,x,139-69-19,139-69-19,139-69-19,x,x,x,x
x,139-69-19,139-69-19,139-69-19,139-69-19,x,x,x,x,139-69-19,139-69-19,139-69-19,139-69-19,x,x,x
